snr_db,velocity_kmh,samples,mmse_ber,mmse_ser,mmse_nmse,oamp_dl_ber,oamp_dl_ser,oamp_dl_nmse,oamp_dl_beats_mmse_all_metrics
10,30,15,0.08333333333333333,0.1583333333333333,0.3558574279397006,0.05996376811594203,0.11503623188405797,0.1876097726073292,True
10,120,15,0.06884057971014493,0.13206521739130433,0.34002501526493456,0.042663043478260866,0.08206521739130435,0.1295584565438272,True
10,500,15,0.06911231884057972,0.1318840579710145,0.332071776683825,0.04655797101449275,0.09021739130434785,0.14231843564610508,True
15,30,15,0.06105072463768116,0.11503623188405797,0.34528872015591167,0.03297101449275362,0.06322463768115942,0.10595722221120876,True
15,120,15,0.07300724637681161,0.140036231884058,0.37917464275172114,0.047644927536231875,0.09057971014492752,0.14049029849360836,True
15,500,15,0.06449275362318839,0.12518115942028984,0.36865526882584,0.02173913043478261,0.0427536231884058,0.06741174064568382,True
20,30,15,0.06304347826086956,0.11956521739130435,0.39351911324990557,0.022282608695652174,0.042753623188405795,0.07024806161513915,True
20,120,15,0.06431159420289854,0.12083333333333333,0.4256415684918136,0.013043478260869566,0.02518115942028986,0.041146013728894267,True
20,500,15,0.05471014492753623,0.10579710144927537,0.3739837722242073,0.009782608695652173,0.019202898550724636,0.030968977744363017,True
