sample_index,snr_db,velocity_kmh,mmse_ber,mmse_ser,mmse_nmse,oamp_dl_ber,oamp_dl_ser,oamp_dl_nmse
0,10,30,0.08695652173913043,0.16847826086956522,0.3710911220661528,0.04755434782608696,0.09239130434782608,0.15814363488331679
1,10,30,0.02309782608695652,0.04619565217391304,0.17048525295727515,0.005434782608695652,0.010869565217391304,0.02407867769168998
2,10,30,0.051630434782608696,0.10326086956521739,0.32606375065493787,0.016304347826086956,0.03260869565217391,0.05726348468690786
3,10,30,0.04891304347826087,0.09239130434782608,0.28205688801502127,0.03804347826086957,0.07336956521739131,0.12305902773068132
4,10,30,0.04076086956521739,0.07880434782608696,0.30158261700528183,0.009510869565217392,0.019021739130434784,0.024835317783404816
5,10,30,0.09510869565217392,0.18478260869565216,0.4117633522536238,0.08695652173913043,0.16847826086956522,0.26319431253932385
6,10,30,0.08831521739130435,0.16576086956521738,0.3749235698328833,0.07608695652173914,0.14673913043478262,0.23345678655106009
7,10,30,0.14673913043478262,0.27445652173913043,0.47669219684273967,0.12635869565217392,0.24456521739130435,0.3898755090203993
8,10,30,0.08152173913043478,0.15760869565217392,0.33725242495916596,0.043478260869565216,0.08695652173913043,0.132758554262466
9,10,30,0.15353260869565216,0.28532608695652173,0.491379807851657,0.13043478260869565,0.2418478260869565,0.3957662929848832
10,10,30,0.08967391304347826,0.17119565217391305,0.3626158910813333,0.051630434782608696,0.09782608695652174,0.15778932533300094
11,10,30,0.09782608695652174,0.1875,0.4144178975423401,0.07065217391304347,0.1358695652173913,0.20930011225920717
12,10,30,0.12364130434782608,0.22826086956521738,0.44536355116809057,0.10733695652173914,0.20652173913043478,0.3600105578372881
13,10,30,0.12092391304347826,0.22826086956521738,0.46102537555345896,0.08967391304347826,0.16847826086956522,0.2825421210476462
14,10,30,0.001358695652173913,0.002717391304347826,0.11114772131154718,0.0,0.0,0.002072874498661969
15,15,30,0.04891304347826087,0.09782608695652174,0.275168473025712,0.012228260869565218,0.024456521739130436,0.0390505143408777
16,15,30,0.09782608695652174,0.18478260869565216,0.46535973198075575,0.059782608695652176,0.11684782608695653,0.17743131033390844
17,15,30,0.04755434782608696,0.09510869565217392,0.2960402484912828,0.014945652173913044,0.02717391304347826,0.05151027173747493
18,15,30,0.016304347826086956,0.03260869565217391,0.227130194898729,0.0,0.0,0.0005492384699951058
19,15,30,0.028532608695652172,0.057065217391304345,0.2201209355127414,0.010869565217391304,0.021739130434782608,0.035571278717883084
20,15,30,0.15217391304347827,0.2826086956521739,0.5493975150311657,0.13043478260869565,0.24728260869565216,0.38623721340790945
21,15,30,0.033967391304347824,0.06793478260869565,0.276962469105839,0.004076086956521739,0.008152173913043478,0.022049435352553704
22,15,30,0.035326086956521736,0.06521739130434782,0.2808765823718825,0.017663043478260868,0.035326086956521736,0.0538115016865881
23,15,30,0.029891304347826088,0.059782608695652176,0.23535762876063268,0.0,0.0,0.0007558474065638822
24,15,30,0.08016304347826086,0.15217391304347827,0.4219419180803777,0.033967391304347824,0.06521739130434782,0.11450935972632958
25,15,30,0.06657608695652174,0.11956521739130435,0.3422850984356501,0.02309782608695652,0.043478260869565216,0.07967314242403964
26,15,30,0.13451086956521738,0.23641304347826086,0.5839806659241591,0.08831521739130435,0.16576086956521738,0.253538863183126
27,15,30,0.025815217391304348,0.051630434782608696,0.20278427775226612,0.006793478260869565,0.01358695652173913,0.03058398545268717
28,15,30,0.10461956521739131,0.1956521739130435,0.6174998987496176,0.08967391304347826,0.17391304347826086,0.3382067822761302
29,15,30,0.01358695652173913,0.02717391304347826,0.18442516421786317,0.002717391304347826,0.005434782608695652,0.005879588652064313
30,20,30,0.02309782608695652,0.04619565217391304,0.2322453306602915,0.010869565217391304,0.021739130434782608,0.0360183827530815
31,20,30,0.06657608695652174,0.13043478260869565,0.46385151493055055,0.006793478260869565,0.01358695652173913,0.03384035530427663
32,20,30,0.09239130434782608,0.18206521739130435,0.4698869595949845,0.042119565217391304,0.07880434782608696,0.13460275351435574
