epoch,train_loss,validation_loss,learning_rate,best_validation_loss
1,0.15859585825412992,0.12110361765932154,0.001,0.12110361765932154
2,0.15207837020593976,0.11566443730283667,0.001,0.11566443730283667
3,0.1463384729529184,0.1113179960184627,0.001,0.1113179960184627
4,0.1412009803785218,0.10722283886538611,0.001,0.10722283886538611
5,0.13656227087217665,0.10392483489380942,0.001,0.10392483489380942
6,0.13253747087622444,0.10115491763033249,0.001,0.10115491763033249
7,0.12910286262631415,0.09894644907779164,0.001,0.09894644907779164
8,0.12621128407735674,0.09715947114207127,0.001,0.09715947114207127
9,0.12383190700932155,0.09587824110079694,0.001,0.09587824110079694
10,0.12191529628776368,0.09497786385041695,0.001,0.09497786385041695
11,0.12044012560730889,0.09428960474001037,0.001,0.09428960474001037
12,0.11935099174105931,0.09378259169558684,0.001,0.09378259169558684
13,0.11836651100052728,0.09326992672350672,0.001,0.09326992672350672
14,0.11748250921567281,0.09269706464752003,0.001,0.09269706464752003
15,0.11671512947669105,0.09230345636606216,0.001,0.09230345636606216
16,0.11602247194165276,0.09198311601799947,0.001,0.09198311601799947
17,0.11542379420901101,0.09182165535511794,0.001,0.09182165535511794
18,0.11486192844689838,0.09138590723828033,0.001,0.09138590723828033
19,0.11439147844674095,0.09110389528451142,0.001,0.09110389528451142
20,0.11386738840549711,0.09079897304375967,0.001,0.09079897304375967
21,0.11339208092244844,0.09057362198277756,0.001,0.09057362198277756
22,0.11307085629493471,0.09047848162827668,0.001,0.09047848162827668
23,0.11278933229900542,0.09027282860543993,0.001,0.09027282860543993
24,0.11263047969116578,0.09017182756905202,0.001,0.09017182756905202
25,0.11253054492057316,0.09003820731132119,0.001,0.09003820731132119
26,0.1124398476547665,0.08997516270588946,0.001,0.08997516270588946
27,0.11234833617059012,0.0899625509839367,0.001,0.0899625509839367
28,0.11234380323735495,0.09001695849001408,0.001,0.0899625509839367
29,0.11216870976818932,0.09001319725756292,0.001,0.0899625509839367
30,0.11220309954314005,0.08975607134677746,0.001,0.08975607134677746
31,0.11213564106396266,0.08975498427947362,0.001,0.08975498427947362
32,0.11208379832761628,0.08970181322484105,0.001,0.08970181322484105
33,0.112004321056699,0.08964673719472355,0.001,0.08964673719472355
34,0.11196364604291462,0.08967903529604276,0.001,0.08964673719472355
35,0.11192061160764998,0.08967047267489964,0.001,0.08964673719472355
36,0.11183936825347325,0.08962794771348989,0.001,0.08962794771348989
37,0.11176783198875094,0.08961015960408582,0.001,0.08961015960408582
38,0.11166845804878643,0.08952006700414199,0.001,0.08952006700414199
39,0.11158375452671732,0.08954424408298951,0.001,0.08952006700414199
40,0.11154696625613031,0.08950795459526556,0.001,0.08950795459526556
41,0.11151005897730115,0.08941894535113264,0.001,0.08941894535113264
42,0.11146631242027358,0.08937429291782556,0.001,0.08937429291782556
43,0.11141884518521172,0.08955362706824585,0.001,0.08937429291782556
44,0.11137471534903087,0.0893577750634264,0.001,0.0893577750634264
45,0.11128538506371634,0.08929870720538828,0.001,0.08929870720538828
46,0.11124050435092714,0.08929056845329426,0.001,0.08929056845329426
47,0.1112474251124594,0.08926674643600428,0.001,0.08926674643600428
48,0.11118684865179516,0.08919527032585056,0.001,0.08919527032585056
49,0.1111453460322486,0.08914113036460347,0.001,0.08914113036460347
50,0.11110856227931522,0.08909553147300527,0.001,0.08909553147300527
51,0.11106899553348147,0.08907023141229595,0.001,0.08907023141229595
52,0.11105089163969434,0.0890361422603881,0.001,0.0890361422603881
53,0.11101891329837224,0.08901577466339977,0.001,0.08901577466339977
54,0.11096463091080151,0.08899417414709374,0.001,0.08899417414709374
55,0.11096328673145128,0.08895211422608959,0.001,0.08895211422608959
56,0.1109227993185558,0.08893739203060115,0.001,0.08893739203060115
57,0.11086181179871635,0.08887678753170702,0.001,0.08887678753170702
58,0.11089971044233866,0.088847674070685,0.001,0.088847674070685
59,0.11083217055078537,0.08884482563093857,0.001,0.08884482563093857
60,0.11079775506541842,0.08878542013742306,0.001,0.08878542013742306
61,0.11079863567673971,0.08881020476972615,0.001,0.08878542013742306
62,0.11075695246931107,0.08878711008087352,0.001,0.08878542013742306
63,0.11075097462014546,0.08878959991313794,0.001,0.08878542013742306
64,0.11076006134824147,0.08877888034891199,0.001,0.08877888034891199
65,0.11071714569651891,0.08873992032474942,0.001,0.08873992032474942
66,0.11068149052915119,0.0887451793446585,0.001,0.08873992032474942
67,0.11071118499551501,0.08877745977154484,0.001,0.08873992032474942
68,0.11066841781139374,0.08874875511284228,0.001,0.08873992032474942
69,0.11066520533391408,0.08869297617563494,0.001,0.08869297617563494
70,0.110645977301257,0.08868682362415173,0.001,0.08868682362415173
71,0.1106183222125447,0.08865584068828158,0.001,0.08865584068828158
72,0.11063348177879576,0.08864037858115302,0.001,0.08864037858115302
73,0.1105909046436113,0.08866493376316847,0.001,0.08864037858115302
74,0.11060955656899346,0.08863137990788177,0.001,0.08863137990788177
75,0.11057880861418588,0.0886193313256458,0.001,0.0886193313256458
76,0.11056774367415716,0.08856710260389028,0.001,0.08856710260389028
77,0.11056350635157691,0.08855914721886317,0.001,0.08855914721886317
78,0.11058617324110061,0.08861156083919385,0.001,0.08855914721886317
79,0.11054871361407023,0.0886335647492497,0.001,0.08855914721886317
80,0.11054175086910763,0.0885364991095331,0.001,0.0885364991095331
81,0.11055849797668911,0.08847523919410176,0.001,0.08847523919410176
82,0.11057585021333088,0.08851072991059886,0.001,0.08847523919410176
83,0.11056738115019268,0.08844861901468701,0.001,0.08844861901468701
84,0.11052921499524798,0.08845806350862538,0.001,0.08844861901468701
85,0.11050443514471962,0.0884480049488721,0.001,0.08844861901468701
86,0.1105407068831107,0.08846585347696587,0.001,0.08844861901468701
87,0.11050788604077838,0.08846412862616557,0.001,0.08844861901468701
88,0.11045063167573914,0.088533906293688,0.0005,0.08844861901468701
89,0.11052909275842092,0.08849072379094583,0.0005,0.08844861901468701
90,0.11045105849939679,0.08844939232976348,0.0005,0.08844861901468701
91,0.11046188052684541,0.0884544264111254,0.0005,0.08844861901468701
92,0.11046378884523633,0.08846217839530221,0.0005,0.08844861901468701
93,0.11045009503288875,0.08847279316849178,0.00025,0.08844861901468701
