snr_db,velocity_kmh,samples,mmse_ber,mmse_ser,mmse_nmse,oamp_ber,oamp_ser,oamp_nmse,oamp_beats_mmse_all_metrics
10,30,15,0.08333333333333333,0.1583333333333333,0.3558574279397006,0.0946557971014493,0.17807971014492754,0.30002527268527707,False
10,120,15,0.06884057971014493,0.13206521739130433,0.34002501526493456,0.07952898550724635,0.15036231884057968,0.2417754153574946,False
10,500,15,0.06911231884057972,0.1318840579710145,0.332071776683825,0.08170289855072466,0.15344202898550727,0.24623543464699243,False
15,30,15,0.06105072463768116,0.11503623188405797,0.34528872015591167,0.06548913043478262,0.12391304347826088,0.20322442599948345,False
15,120,15,0.07300724637681161,0.140036231884058,0.37917464275172114,0.07835144927536233,0.14909420289855072,0.24451515462575166,False
15,500,15,0.06449275362318839,0.12518115942028984,0.36865526882584,0.07355072463768116,0.14184782608695654,0.22725240640950053,False
20,30,15,0.06304347826086956,0.11956521739130435,0.39351911324990557,0.06865942028985508,0.12844202898550722,0.21930696999657465,False
20,120,15,0.06431159420289854,0.12083333333333333,0.4256415684918136,0.07065217391304349,0.13152173913043477,0.2158488211435494,False
20,500,15,0.05471014492753623,0.10579710144927537,0.3739837722242073,0.06005434782608696,0.11449275362318842,0.186226987300689,False
