sample_index,snr_db,velocity_kmh,mmse_ber,mmse_ser,mmse_nmse,oamp_ber,oamp_ser,oamp_nmse
0,10,30,0.08695652173913043,0.16847826086956522,0.3710911220661528,0.09918478260869565,0.1875,0.31894154959406756
1,10,30,0.02309782608695652,0.04619565217391304,0.17048525295727515,0.01358695652173913,0.02717391304347826,0.04096392250430435
2,10,30,0.051630434782608696,0.10326086956521739,0.32606375065493787,0.07201086956521739,0.14130434782608695,0.2275118503701255
3,10,30,0.04891304347826087,0.09239130434782608,0.28205688801502127,0.051630434782608696,0.10054347826086957,0.15936523330293373
4,10,30,0.04076086956521739,0.07880434782608696,0.30158261700528183,0.03804347826086957,0.07336956521739131,0.11491098194664437
5,10,30,0.09510869565217392,0.18478260869565216,0.4117633522536238,0.11277173913043478,0.21739130434782608,0.3530357094840144
6,10,30,0.08831521739130435,0.16576086956521738,0.3749235698328833,0.09646739130434782,0.1875,0.3152747280416142
7,10,30,0.14673913043478262,0.27445652173913043,0.47669219684273967,0.1644021739130435,0.30978260869565216,0.5280954664168711
8,10,30,0.08152173913043478,0.15760869565217392,0.33725242495916596,0.09103260869565218,0.17119565217391305,0.28806795273366
9,10,30,0.15353260869565216,0.28532608695652173,0.491379807851657,0.17119565217391305,0.31521739130434784,0.529523111994035
10,10,30,0.08967391304347826,0.17119565217391305,0.3626158910813333,0.08559782608695653,0.16304347826086957,0.2754311688638237
11,10,30,0.09782608695652174,0.1875,0.4144178975423401,0.125,0.23097826086956522,0.37777107511424335
12,10,30,0.12364130434782608,0.22826086956521738,0.44536355116809057,0.15217391304347827,0.27445652173913043,0.5074193266744215
13,10,30,0.12092391304347826,0.22826086956521738,0.46102537555345896,0.14402173913043478,0.266304347826087,0.4583874087832772
14,10,30,0.001358695652173913,0.002717391304347826,0.11114772131154718,0.002717391304347826,0.005434782608695652,0.005679604455120467
15,15,30,0.04891304347826087,0.09782608695652174,0.275168473025712,0.050271739130434784,0.09510869565217392,0.16986554065178608
16,15,30,0.09782608695652174,0.18478260869565216,0.46535973198075575,0.09918478260869565,0.18206521739130435,0.31770074885642785
17,15,30,0.04755434782608696,0.09510869565217392,0.2960402484912828,0.057065217391304345,0.10869565217391304,0.16306942485048848
18,15,30,0.016304347826086956,0.03260869565217391,0.227130194898729,0.021739130434782608,0.043478260869565216,0.06866172353162155
19,15,30,0.028532608695652172,0.057065217391304345,0.2201209355127414,0.02717391304347826,0.05434782608695652,0.08714252258135316
