pilot_snr_db,nmse_30_kmh_db,nmse_120_kmh_db,nmse_500_kmh_db
25,-9.39474153699463,-8.307932936067647,-9.295057649817997
30,-12.322463168667259,-10.933457925498368,-11.230970847992799
35,-14.406386290432424,-13.672310427103858,-14.1343816963615
40,-17.10014836089855,-15.957900399039376,-16.775670590260397
45,-18.90102781339463,-17.7593797302491,-18.191134265348634
50,-19.688083774448607,-18.180946032580877,-18.49611002280217
