snr_db,velocity_kmh,samples,ber,ser,nmse,ber_std,ser_std,nmse_std,ber_ci95,ser_ci95,nmse_ci95
10,30,15,0.08333333333333333,0.1583333333333333,0.3558574279397006,0.04372523828926557,0.08095993442491536,0.10793742534033535,0.02212802364122812,0.04097137975773159,0.054623873834681695
10,120,15,0.06884057971014493,0.13206521739130433,0.34002501526493456,0.040094404796944476,0.07541014418545261,0.1151868726321095,0.020290568375142856,0.038162798388540115,0.05829260034903433
10,500,15,0.06911231884057972,0.1318840579710145,0.332071776683825,0.03249473270707429,0.059631254858049314,0.09017119273245351,0.016444603658890795,0.030177578645213546,0.04563291962736569
15,30,15,0.06105072463768116,0.11503623188405797,0.34528872015591167,0.04358569154982512,0.07833891970090334,0.1456739192108592,0.022057403247373052,0.039644963297899884,0.07372117464250852
15,120,15,0.07300724637681161,0.140036231884058,0.3791746427517211,0.04901663317576287,0.08759631351653402,0.14235316975221965,0.024805838919646644,0.044329850955990124,0.07204064354874405
15,500,15,0.06449275362318839,0.12518115942028984,0.36865526882584,0.038583356858314266,0.07200879425893493,0.13439168762039763,0.019525872610929102,0.03644147783018995,0.06801157768827458
20,30,15,0.06304347826086956,0.11956521739130435,0.39351911324990557,0.04547007362945671,0.08348439701503235,0.21802121697651827,0.023011032154580887,0.042248934096165425,0.11033395888273738
20,120,15,0.06431159420289854,0.12083333333333333,0.4256415684918136,0.038500563041173205,0.06970418314490243,0.22716329844027747,0.01948397315846815,0.03527518368954331,0.114960490439222
20,500,15,0.05471014492753623,0.10579710144927537,0.3739837722242073,0.0420050369720096,0.07872711643508744,0.1992590890376162,0.021257481663524213,0.039841417950808714,0.10083901210062471
