epoch,train_loss,validation_loss,learning_rate,best_validation_loss
1,1.1413988885425386,1.0134776910146077,0.001,1.0134776910146077
2,1.0220619160031514,1.0049293994903565,0.001,1.0049293994903565
3,1.0103332792009627,1.0039942255726566,0.001,1.0039942255726566
4,1.004615030213008,1.003787068967466,0.001,1.003787068967466
5,0.9986442259379795,1.004483002203482,0.001,1.003787068967466
6,0.9931575578356546,1.0054328459280508,0.001,1.003787068967466
7,0.9846572028266058,1.0093153229466192,0.001,1.003787068967466
8,0.9749341735764155,1.0139594828640972,0.001,1.003787068967466
9,0.9637316658383324,1.0167621524245651,0.0005,1.003787068967466
10,0.9546836353483654,1.0189874013264975,0.0005,1.003787068967466
11,0.9466631898804316,1.0219353057720042,0.0005,1.003787068967466
12,0.9410252419729082,1.0237639568470143,0.0005,1.003787068967466
13,0.9356681551252093,1.0253088306497644,0.0005,1.003787068967466
14,0.930553462581029,1.0272505115579675,0.00025,1.003787068967466
