sample_index,ber,ser,nmse
0.0,0.5040760869565217,0.75,1.000383734703064
1.0,0.48641304347826086,0.7228260869565217,1.0027767419815063
2.0,0.483695652173913,0.7391304347826086,1.002627968788147
3.0,0.501358695652174,0.75,1.0046788454055786
4.0,0.5095108695652174,0.7527173913043478,1.0089812278747559
5.0,0.5122282608695652,0.7418478260869565,1.0052183866500854
6.0,0.47282608695652173,0.7228260869565217,1.0020605325698853
7.0,0.49184782608695654,0.7472826086956522,1.005622148513794
8.0,0.4633152173913043,0.7228260869565217,0.9925138354301453
9.0,0.5190217391304348,0.782608695652174,1.0134766101837158
10.0,0.48641304347826086,0.7527173913043478,0.998654305934906
11.0,0.4986413043478261,0.7364130434782609,1.0034552812576294
12.0,0.5163043478260869,0.7771739130434783,1.0093210935592651
13.0,0.5217391304347826,0.7472826086956522,1.0098063945770264
14.0,0.5149456521739131,0.782608695652174,1.0040360689163208
15.0,0.5122282608695652,0.7635869565217391,1.0055614709854126
16.0,0.5244565217391305,0.779891304347826,1.0100111961364746
17.0,0.4904891304347826,0.7554347826086957,0.9982898831367493
18.0,0.46875,0.6983695652173914,0.9941743612289429
19.0,0.5054347826086957,0.7635869565217391,1.0060820579528809
20.0,0.48777173913043476,0.7336956521739131,0.9972208142280579
21.0,0.5,0.7690217391304348,1.0042725801467896
22.0,0.48097826086956524,0.720108695652174,1.0033965110778809
23.0,0.4904891304347826,0.7527173913043478,1.002935767173767
24.0,0.48777173913043476,0.7309782608695652,1.001685380935669
25.0,0.5,0.7635869565217391,1.0062114000320435
26.0,0.4904891304347826,0.7472826086956522,1.0047777891159058
27.0,0.5122282608695652,0.7717391304347826,1.0071287155151367
28.0,0.5081521739130435,0.7690217391304348,1.0019993782043457
29.0,0.48233695652173914,0.7527173913043478,1.0018383264541626
30.0,0.5040760869565217,0.7581521739130435,1.0042344331741333
31.0,0.5258152173913043,0.7581521739130435,1.0068786144256592
32.0,0.46603260869565216,0.7146739130434783,0.9973374009132385
33.0,0.5095108695652174,0.7391304347826086,1.006888508796692
34.0,0.4782608695652174,0.720108695652174,1.0007810592651367
35.0,0.5135869565217391,0.7418478260869565,1.005547285079956
36.0,0.49320652173913043,0.75,1.0108602046966553
37.0,0.5285326086956522,0.7744565217391305,1.006706953048706
38.0,0.5040760869565217,0.7635869565217391,1.0043567419052124
39.0,0.485054347826087,0.7418478260869565,1.0001335144042969
40.0,0.5217391304347826,0.7853260869565217,1.0071897506713867
41.0,0.5081521739130435,0.7418478260869565,1.0047452449798584
42.0,0.5054347826086957,0.7581521739130435,1.006249189376831
43.0,0.49728260869565216,0.7364130434782609,1.0007872581481934
44.0,0.5067934782608695,0.7608695652173914,1.0074845552444458
45.0,0.4891304347826087,0.7527173913043478,1.0024675130844116
46.0,0.48777173913043476,0.7581521739130435,1.0013196468353271
47.0,0.483695652173913,0.7581521739130435,0.9971124529838562
48.0,0.4592391304347826,0.7309782608695652,1.000848412513733
49.0,0.4945652173913043,0.7635869565217391,1.004040002822876
50.0,0.5054347826086957,0.75,1.006623387336731
51.0,0.4741847826086957,0.717391304347826,1.0022014379501343
52.0,0.5067934782608695,0.7635869565217391,1.0085480213165283
53.0,0.5407608695652174,0.7771739130434783,1.0170899629592896
54.0,0.501358695652174,0.7391304347826086,1.0013833045959473
55.0,0.49728260869565216,0.7391304347826086,1.0019282102584839
56.0,0.48641304347826086,0.720108695652174,1.0008630752563477
57.0,0.47282608695652173,0.7119565217391305,0.9981297850608826
58.0,0.501358695652174,0.7418478260869565,1.0003831386566162
59.0,0.501358695652174,0.7581521739130435,1.0044400691986084
60.0,0.5258152173913043,0.7608695652173914,1.0084196329116821
61.0,0.47690217391304346,0.7092391304347826,0.9976741075515747
62.0,0.501358695652174,0.782608695652174,1.0036944150924683
63.0,0.48097826086956524,0.7336956521739131,0.9973269701004028
