sample_index,mmse_ber,mmse_ser,mmse_nmse,residual_ber,residual_ser,residual_nmse
0,0.08695652173913043,0.16847826086956522,0.3710911273956299,0.08152173913043478,0.16032608695652173,0.37034714221954346
1,0.02309782608695652,0.04619565217391304,0.1704852432012558,0.020380434782608696,0.04076086956521739,0.18637298047542572
2,0.051630434782608696,0.10326086956521739,0.32606375217437744,0.06521739130434782,0.125,0.33290719985961914
3,0.04891304347826087,0.09239130434782608,0.28205689787864685,0.04755434782608696,0.09239130434782608,0.3008841574192047
4,0.04076086956521739,0.07880434782608696,0.3015826344490051,0.04891304347826087,0.09239130434782608,0.3044203519821167
5,0.09510869565217392,0.18478260869565216,0.41176337003707886,0.10326086956521739,0.1956521739130435,0.42724907398223877
6,0.08831521739130435,0.16576086956521738,0.37492358684539795,0.10054347826086957,0.1956521739130435,0.3906305432319641
7,0.14673913043478262,0.27445652173913043,0.47669219970703125,0.14673913043478262,0.27445652173913043,0.48153921961784363
8,0.08152173913043478,0.15760869565217392,0.3372524082660675,0.08423913043478261,0.15489130434782608,0.3484870195388794
9,0.15353260869565216,0.28532608695652173,0.49137985706329346,0.14945652173913043,0.27717391304347827,0.5144619345664978
10,0.08967391304347826,0.17119565217391305,0.3626159131526947,0.08831521739130435,0.16847826086956522,0.3764757513999939
11,0.09782608695652174,0.1875,0.41441792249679565,0.11141304347826086,0.20923913043478262,0.4197739362716675
12,0.12364130434782608,0.22826086956521738,0.4453635513782501,0.13451086956521738,0.24728260869565216,0.470588356256485
13,0.12092391304347826,0.22826086956521738,0.4610254168510437,0.125,0.23641304347826086,0.4714909791946411
14,0.001358695652173913,0.002717391304347826,0.11114772409200668,0.002717391304347826,0.005434782608695652,0.12208697944879532
15,0.04891304347826087,0.09782608695652174,0.2751684784889221,0.050271739130434784,0.10054347826086957,0.28885939717292786
16,0.09782608695652174,0.18478260869565216,0.46535971760749817,0.09103260869565218,0.18206521739130435,0.4709254503250122
17,0.04755434782608696,0.09510869565217392,0.29604026675224304,0.058423913043478264,0.11684782608695653,0.3134739100933075
18,0.016304347826086956,0.03260869565217391,0.22713018953800201,0.017663043478260868,0.035326086956521736,0.24762779474258423
19,0.028532608695652172,0.057065217391304345,0.22012092173099518,0.033967391304347824,0.06793478260869565,0.22902372479438782
20,0.15217391304347827,0.2826086956521739,0.5493975281715393,0.15625,0.296195652173913,0.5644732117652893
21,0.033967391304347824,0.06793478260869565,0.2769624888896942,0.043478260869565216,0.08695652173913043,0.2872881591320038
22,0.035326086956521736,0.06521739130434782,0.2808765769004822,0.04755434782608696,0.08967391304347826,0.2962718605995178
23,0.029891304347826088,0.059782608695652176,0.2353576421737671,0.03125,0.0625,0.24165989458560944
24,0.08016304347826086,0.15217391304347827,0.42194193601608276,0.07744565217391304,0.14673913043478262,0.4244714677333832
25,0.06657608695652174,0.11956521739130435,0.3422851264476776,0.06793478260869565,0.12771739130434784,0.36495524644851685
26,0.13451086956521738,0.23641304347826086,0.5839806199073792,0.13722826086956522,0.2418478260869565,0.5910930037498474
27,0.025815217391304348,0.051630434782608696,0.20278427004814148,0.02717391304347826,0.05434782608695652,0.21749089658260345
28,0.10461956521739131,0.1956521739130435,0.6174999475479126,0.10461956521739131,0.1956521739130435,0.6223195791244507
29,0.01358695652173913,0.02717391304347826,0.18442516028881073,0.019021739130434784,0.03804347826086957,0.18869765102863312
30,0.02309782608695652,0.04619565217391304,0.2322453260421753,0.028532608695652172,0.057065217391304345,0.2525087893009186
31,0.06657608695652174,0.13043478260869565,0.4638515114784241,0.0625,0.11956521739130435,0.4681059718132019
32,0.09239130434782608,0.18206521739130435,0.4698869585990906,0.09782608695652174,0.1875,0.48822230100631714
33,0.06657608695652174,0.13043478260869565,0.35784754157066345,0.06793478260869565,0.12771739130434784,0.35761168599128723
34,0.03940217391304348,0.07608695652173914,0.30247268080711365,0.03940217391304348,0.07608695652173914,0.3140529692173004
35,0.04076086956521739,0.07880434782608696,0.3027254641056061,0.04891304347826087,0.09510869565217392,0.31078091263771057
36,0.13451086956521738,0.25,0.894926130771637,0.13722826086956522,0.2554347826086957,0.8892510533332825
37,0.02309782608695652,0.043478260869565216,0.19996383786201477,0.025815217391304348,0.04619565217391304,0.21105575561523438
38,0.029891304347826088,0.057065217391304345,0.2506343722343445,0.029891304347826088,0.057065217391304345,0.2653733789920807
39,0.1480978260869565,0.2717391304347826,0.5881353616714478,0.16168478260869565,0.29891304347826086,0.6012880802154541
40,0.016304347826086956,0.03260869565217391,0.20039473474025726,0.025815217391304348,0.051630434782608696,0.20917901396751404
41,0.12228260869565218,0.22282608695652173,0.7909687161445618,0.13043478260869565,0.24456521739130435,0.7770175337791443
42,0.09646739130434782,0.18206521739130435,0.4146221876144409,0.10869565217391304,0.20108695652173914,0.4275147020816803
43,0.036684782608695655,0.07065217391304347,0.2705402076244354,0.04755434782608696,0.09239130434782608,0.288597971200943
44,0.009510869565217392,0.019021739130434784,0.16357187926769257,0.01358695652173913,0.02717391304347826,0.18980416655540466
45,0.03260869565217391,0.06521739130434782,0.21479415893554688,0.04755434782608696,0.09239130434782608,0.23998619616031647
46,0.050271739130434784,0.09782608695652174,0.3063356280326843,0.04755434782608696,0.09510869565217392,0.3147139549255371
47,0.12364130434782608,0.2418478260869565,0.4496854841709137,0.12907608695652173,0.25,0.4730170667171478
48,0.08152173913043478,0.14945652173913043,0.35246172547340393,0.09239130434782608,0.1766304347826087,0.3719324767589569
49,0.125,0.2418478260869565,0.45146748423576355,0.14130434782608695,0.2608695652173913,0.4818446934223175
50,0.059782608695652176,0.11413043478260869,0.3389292061328888,0.07472826086956522,0.14130434782608695,0.3531038463115692
51,0.04891304347826087,0.09782608695652174,0.26370495557785034,0.04619565217391304,0.09239130434782608,0.2786705493927002
52,0.014945652173913044,0.029891304347826088,0.1787315458059311,0.01358695652173913,0.02717391304347826,0.18372948467731476
53,0.07065217391304347,0.1358695652173913,0.38423100113868713,0.07472826086956522,0.14130434782608695,0.38753774762153625
54,0.10054347826086957,0.19021739130434784,0.4134232997894287,0.10597826086956522,0.1956521739130435,0.41598936915397644
55,0.06521739130434782,0.13043478260869565,0.37045878171920776,0.07472826086956522,0.14402173913043478,0.38052675127983093
56,0.012228260869565218,0.024456521739130436,0.16679297387599945,0.019021739130434784,0.03804347826086957,0.18767037987709045
57,0.12092391304347826,0.22010869565217392,0.493665486574173,0.13722826086956522,0.24728260869565216,0.5000706315040588
58,0.017663043478260868,0.035326086956521736,0.19977125525474548,0.017663043478260868,0.035326086956521736,0.20863759517669678
59,0.10869565217391304,0.20652173913043478,0.5159223675727844,0.10869565217391304,0.20108695652173914,0.5198678374290466
60,0.08559782608695653,0.17119565217391305,0.4969409108161926,0.08695652173913043,0.17119565217391305,0.4913656711578369
61,0.12635869565217392,0.2418478260869565,0.5180561542510986,0.12228260869565218,0.23097826086956522,0.5341074466705322
62,0.05434782608695652,0.10597826086956522,0.2812971770763397,0.0625,0.12228260869565218,0.30038800835609436
63,0.05298913043478261,0.10597826086956522,0.30803823471069336,0.05298913043478261,0.10597826086956522,0.3266735076904297
64,0.05570652173913043,0.11141304347826086,0.3379060626029968,0.0625,0.11413043478260869,0.3524889051914215
65,0.09375,0.1793478260869565,0.439543217420578,0.10054347826086957,0.19021739130434784,0.44787198305130005
66,0.04076086956521739,0.07608695652173914,0.28551262617111206,0.042119565217391304,0.08152173913043478,0.29520267248153687
67,0.07065217391304347,0.13858695652173914,0.33912476897239685,0.07336956521739131,0.14130434782608695,0.3534999489784241
68,0.059782608695652176,0.11956521739130435,0.3573995530605316,0.06657608695652174,0.1331521739130435,0.3648906648159027
69,0.21739130434782608,0.38858695652173914,0.710237443447113,0.20923913043478262,0.375,0.7171658873558044
70,0.01358695652173913,0.02717391304347826,0.1846594363451004,0.025815217391304348,0.04891304347826087,0.20000754296779633
71,0.019021739130434784,0.03804347826086957,0.1990155279636383,0.02717391304347826,0.05434782608695652,0.2101200819015503
72,0.08016304347826086,0.15217391304347827,0.43241196870803833,0.07880434782608696,0.14945652173913043,0.4336901605129242
73,0.07608695652173914,0.14673913043478262,0.5332943797111511,0.08831521739130435,0.17119565217391305,0.5405418276786804
74,0.04891304347826087,0.09782608695652174,0.26418226957321167,0.04891304347826087,0.09510869565217392,0.27885866165161133
75,0.04891304347826087,0.09510869565217392,0.3397787809371948,0.05434782608695652,0.10597826086956522,0.3504789173603058
76,0.014945652173913044,0.029891304347826088,0.1620267778635025,0.020380434782608696,0.04076086956521739,0.16834032535552979
77,0.025815217391304348,0.051630434782608696,0.24638324975967407,0.03125,0.059782608695652176,0.26898133754730225
78,0.051630434782608696,0.10054347826086957,0.3572638928890228,0.051630434782608696,0.10054347826086957,0.3634044826030731
79,0.051630434782608696,0.10326086956521739,0.3664036691188812,0.05570652173913043,0.10869565217391304,0.38330674171447754
80,0.03940217391304348,0.07608695652173914,0.35765424370765686,0.03804347826086957,0.07336956521739131,0.362726628780365
81,0.06929347826086957,0.125,0.38721349835395813,0.0625,0.11141304347826086,0.3912074863910675
82,0.10869565217391304,0.1983695652173913,0.5419750809669495,0.11005434782608696,0.20380434782608695,0.5506303906440735
83,0.07880434782608696,0.14673913043478262,0.5224137306213379,0.07880434782608696,0.14673913043478262,0.5230453610420227
84,0.028532608695652172,0.05434782608695652,0.2283465415239334,0.02717391304347826,0.051630434782608696,0.23967933654785156
85,0.15081521739130435,0.27717391304347827,0.9401785731315613,0.1480978260869565,0.266304347826087,0.9087510108947754
86,0.043478260869565216,0.08695652173913043,0.287710577249527,0.03940217391304348,0.07880434782608696,0.29899340867996216
87,0.057065217391304345,0.10597826086956522,0.346370130777359,0.06385869565217392,0.11684782608695653,0.35409247875213623
88,0.06657608695652174,0.11956521739130435,0.38008126616477966,0.059782608695652176,0.10597826086956522,0.36924687027931213
89,0.12907608695652173,0.2418478260869565,0.9208236336708069,0.1358695652173913,0.2554347826086957,0.9015824794769287
90,0.07472826086956522,0.14673913043478262,0.31397852301597595,0.06521739130434782,0.12771739130434784,0.3040246069431305
91,0.012228260869565218,0.024456521739130436,0.1836359053850174,0.012228260869565218,0.024456521739130436,0.19074459373950958
92,0.08559782608695653,0.15489130434782608,0.3771412968635559,0.08831521739130435,0.16304347826086957,0.3938533067703247
93,0.10461956521739131,0.19021739130434784,0.4419943392276764,0.10597826086956522,0.1956521739130435,0.4647331237792969
94,0.03125,0.0625,0.2333291471004486,0.04755434782608696,0.09510869565217392,0.2561730146408081
95,0.025815217391304348,0.04891304347826087,0.21154354512691498,0.033967391304347824,0.06521739130434782,0.2294626384973526
96,0.058423913043478264,0.11684782608695653,0.34044572710990906,0.06114130434782609,0.11684782608695653,0.3545445203781128
97,0.06793478260869565,0.13043478260869565,0.3429658114910126,0.07472826086956522,0.14130434782608695,0.3541492819786072
98,0.07608695652173914,0.14945652173913043,0.3746369779109955,0.07336956521739131,0.14130434782608695,0.38372746109962463
99,0.11277173913043478,0.20923913043478262,0.485291987657547,0.125,0.23097826086956522,0.5070820450782776
100,0.11820652173913043,0.22554347826086957,0.42634475231170654,0.11820652173913043,0.22282608695652173,0.4347296953201294
