sample_index,mmse_ber,mmse_ser,mmse_nmse,informed_ber,informed_ser,informed_nmse
0,0.08695652173913043,0.16847826086956522,0.3710911220661528,0.08695652173913043,0.17119565217391305,0.3705507107024532
1,0.02309782608695652,0.04619565217391304,0.17048525295727515,0.024456521739130436,0.04891304347826087,0.17360239802910027
2,0.051630434782608696,0.10326086956521739,0.32606375065493787,0.051630434782608696,0.10326086956521739,0.32760069649331675
3,0.04891304347826087,0.09239130434782608,0.28205688801502127,0.04483695652173913,0.08695652173913043,0.28379598093777636
4,0.04076086956521739,0.07880434782608696,0.30158261700528183,0.04619565217391304,0.08695652173913043,0.30165009599081666
5,0.09510869565217392,0.18478260869565216,0.4117633522536238,0.09375,0.18206521739130435,0.41536383686506734
6,0.08831521739130435,0.16576086956521738,0.3749235698328833,0.09103260869565218,0.17119565217391305,0.3760414752334326
7,0.14673913043478262,0.27445652173913043,0.47669219684273967,0.14266304347826086,0.266304347826087,0.47673158150809847
8,0.08152173913043478,0.15760869565217392,0.33725242495916596,0.08152173913043478,0.15760869565217392,0.34138782794370853
9,0.15353260869565216,0.28532608695652173,0.491379807851657,0.1480978260869565,0.2798913043478261,0.49718901253777126
10,0.08967391304347826,0.17119565217391305,0.3626158910813333,0.09103260869565218,0.17391304347826086,0.3613451061764849
11,0.09782608695652174,0.1875,0.4144178975423401,0.10461956521739131,0.1983695652173913,0.414897606328185
12,0.12364130434782608,0.22826086956521738,0.44536355116809057,0.12771739130434784,0.23641304347826086,0.4478409338883542
13,0.12092391304347826,0.22826086956521738,0.46102537555345896,0.12635869565217392,0.24456521739130435,0.4628683037640899
14,0.001358695652173913,0.002717391304347826,0.11114772131154718,0.001358695652173913,0.002717391304347826,0.11212554306165451
15,0.04891304347826087,0.09782608695652174,0.275168473025712,0.04619565217391304,0.09239130434782608,0.2761950904372011
16,0.09782608695652174,0.18478260869565216,0.46535973198075575,0.09510869565217392,0.1766304347826087,0.4661754899385383
17,0.04755434782608696,0.09510869565217392,0.2960402484912828,0.050271739130434784,0.10054347826086957,0.2988616174855281
18,0.016304347826086956,0.03260869565217391,0.227130194898729,0.019021739130434784,0.035326086956521736,0.23072731790421272
19,0.028532608695652172,0.057065217391304345,0.2201209355127414,0.03125,0.0625,0.21784644341328135
20,0.15217391304347827,0.2826086956521739,0.5493975150311657,0.15353260869565216,0.28804347826086957,0.5498070532654082
21,0.033967391304347824,0.06793478260869565,0.276962469105839,0.033967391304347824,0.06793478260869565,0.2778944848831291
22,0.035326086956521736,0.06521739130434782,0.2808765823718825,0.03940217391304348,0.07608695652173914,0.28204748252597306
23,0.029891304347826088,0.059782608695652176,0.23535762876063268,0.03125,0.0625,0.2375256274267992
24,0.08016304347826086,0.15217391304347827,0.4219419180803777,0.07608695652173914,0.14402173913043478,0.42410762016415937
25,0.06657608695652174,0.11956521739130435,0.3422850984356501,0.06793478260869565,0.11956521739130435,0.3433928302603693
26,0.13451086956521738,0.23641304347826086,0.5839806659241591,0.1331521739130435,0.23369565217391305,0.5827628569585547
27,0.025815217391304348,0.051630434782608696,0.20278427775226612,0.028532608695652172,0.057065217391304345,0.20545128978752808
28,0.10461956521739131,0.1956521739130435,0.6174998987496176,0.10054347826086957,0.1875,0.6155794716475818
29,0.01358695652173913,0.02717391304347826,0.18442516421786317,0.014945652173913044,0.029891304347826088,0.18891129075985624
30,0.02309782608695652,0.04619565217391304,0.2322453306602915,0.02309782608695652,0.04619565217391304,0.2355235771655705
31,0.06657608695652174,0.13043478260869565,0.46385151493055055,0.07065217391304347,0.13858695652173914,0.4689495332647899
32,0.09239130434782608,0.18206521739130435,0.4698869595949845,0.09239130434782608,0.18206521739130435,0.47305710054406463
33,0.06657608695652174,0.13043478260869565,0.357847557527641,0.06114130434782609,0.11956521739130435,0.3593482759436771
34,0.03940217391304348,0.07608695652173914,0.302472667033931,0.03804347826086957,0.07336956521739131,0.30541574835545193
35,0.04076086956521739,0.07880434782608696,0.30272544458726847,0.042119565217391304,0.08152173913043478,0.3055541981581458
36,0.13451086956521738,0.25,0.8949260878898194,0.13451086956521738,0.25,0.89520377373776
37,0.02309782608695652,0.043478260869565216,0.19996383790017183,0.021739130434782608,0.04076086956521739,0.1986578773894094
38,0.029891304347826088,0.057065217391304345,0.25063436956671437,0.033967391304347824,0.06521739130434782,0.2555925384136858
39,0.1480978260869565,0.2717391304347826,0.5881353286054816,0.14945652173913043,0.27445652173913043,0.586261493394082
40,0.016304347826086956,0.03260869565217391,0.2003947282923951,0.017663043478260868,0.035326086956521736,0.20119212768337008
41,0.12228260869565218,0.22282608695652173,0.7909686630317181,0.11820652173913043,0.21739130434782608,0.7938093528128014
42,0.09646739130434782,0.18206521739130435,0.4146221520729541,0.09375,0.18206521739130435,0.4119840505291381
43,0.036684782608695655,0.07065217391304347,0.27054018508328603,0.03804347826086957,0.07336956521739131,0.27421417105315
44,0.009510869565217392,0.019021739130434784,0.1635718719713758,0.010869565217391304,0.021739130434782608,0.16503033643606022
45,0.03260869565217391,0.06521739130434782,0.21479414441251146,0.033967391304347824,0.06521739130434782,0.21662233022566663
46,0.050271739130434784,0.09782608695652174,0.30633558730610705,0.05298913043478261,0.10326086956521739,0.30810786252698813
47,0.12364130434782608,0.2418478260869565,0.4496854448289446,0.125,0.24456521739130435,0.45145480615491357
48,0.08152173913043478,0.14945652173913043,0.35246173613707593,0.08152173913043478,0.15217391304347827,0.35236483816133496
49,0.125,0.2418478260869565,0.45146749091241273,0.125,0.2391304347826087,0.4523161379208339
50,0.059782608695652176,0.11413043478260869,0.3389292243803914,0.06114130434782609,0.11684782608695653,0.3408371428924958
51,0.04891304347826087,0.09782608695652174,0.26370495377049596,0.04891304347826087,0.09782608695652174,0.2667457852340602
52,0.014945652173913044,0.029891304347826088,0.17873153887932672,0.016304347826086956,0.03260869565217391,0.18146032043369822
53,0.07065217391304347,0.1358695652173913,0.3842309799117456,0.07201086956521739,0.13858695652173914,0.386610614405498
54,0.10054347826086957,0.19021739130434784,0.4134232412208595,0.09646739130434782,0.18478260869565216,0.40841135030366116
55,0.06521739130434782,0.13043478260869565,0.37045877666222277,0.059782608695652176,0.11956521739130435,0.3753406644385135
56,0.012228260869565218,0.024456521739130436,0.16679296683419514,0.012228260869565218,0.024456521739130436,0.167848287489594
57,0.12092391304347826,0.22010869565217392,0.49366549046260993,0.12907608695652173,0.2391304347826087,0.49405812133463817
58,0.017663043478260868,0.035326086956521736,0.19977125599898354,0.01358695652173913,0.02717391304347826,0.19727735904389476
59,0.10869565217391304,0.20652173913043478,0.5159223972561351,0.11141304347826086,0.21467391304347827,0.5172461175425798
60,0.08559782608695653,0.17119565217391305,0.4969409075918835,0.08288043478260869,0.16576086956521738,0.49608805991365856
61,0.12635869565217392,0.2418478260869565,0.5180561666215278,0.12228260869565218,0.23369565217391305,0.5161579105656855
62,0.05434782608695652,0.10597826086956522,0.2812971936103787,0.05570652173913043,0.10869565217391304,0.2864465236623575
63,0.05298913043478261,0.10597826086956522,0.3080382289954242,0.05570652173913043,0.11141304347826086,0.3103621664546648
64,0.05570652173913043,0.11141304347826086,0.33790602216365867,0.05434782608695652,0.10597826086956522,0.33899785240717983
65,0.09375,0.1793478260869565,0.4395432132889279,0.09375,0.1793478260869565,0.4428889364550089
